Mg 1;Punt dat tranen opneemt;Chengqi;Op de onderste oogrand, loodrecht onder de pupil;;
Mg 3;;;Onder mg 1 ter hoogte van Dida 20. Onder het Jukbeen;;Elimineert interne en externe wind, laat zwelling verdwijnen en verminderd pijn.
Mg 6;Kaak;Jiache;1 cun schuin boven de kaakhoek,op de verdikking van de M.masseter als de kaken op elkaar worden geklemd;;Elimineert wind en ondersteunt de kaak en tanden.
Mg 8;Punt v/d bewaarbaan v/h hoofd.;Touwei;0,5 cun achter de (originele) haarlijn in het kuiltje 4,5 cun lateraal van Du Mai 24;;-Elimineert wind en verminderd pijn.-Ondersteunt de ogen.-Verwijderd damp uit het hoofd
Mg 9;Ontvangst van de mensen;Renying;Naast de adamsappel op de rand van de M.sternocleidomasticus (waar de arteriecarotis externa voelbaar is);Window of heaven.;-Reguleert qi en xue.Zee van qi;-Ondersteund keel en nek.Verminderd zwelling en pijn
Mg 12 ;Kuiltje boven het sleutelbeen;Quepen;4 cun van de renmai(op de tepellijn), in het midden van de groeve op het sleutelbeen;;-laat longqi dalen en klaart hitte van de borst.Activeert de meridiaan en verminderd pijn.laat rebellerend maagqi dalen
Mg 18;Wortel van de Borst;Rugen;4 cun van renmai in de 5e intercostale ruimte onder de tepel;;-Ondersteunt de borst en verminderd zwelling.Heft stagnatie in de borst op en bevorderd lactatie
Mg 21;Poort in het tussenschot;Liangmen;2 cun van renmai, 4 cun boven de navel (op de RM12 lijn);;Harmoniseert de MW en transformeert E61
Mg 25;Scharnier v/d hemel;Tianshu;2 cun van RM naast de navel;Front mu van de dikke darm;-reguleert de darmen.reguleert milt en maag.laat damp en damp-hitte verdwijnen.reguleert qi en xue en elimineert stagnatie
Mg 30;Brede straat v/h qi;Qichong;2 cun naast RM op de bovenrand v/h schaambeen;;-Reguleert qi in OW.-reguleert de chongmai
Mg 34;Heuvel met tussenschot;Lianqiu;2 cun boven het laterale deel v/d  patella gemeten vanaf de bovenrand;Xi-cleft punt;Activeert de meridiaan en verminderd pijn
Mg 35;Kalfsneus;Dubi;In depressie die ontstaat lateraal onder de patella bij het buigen v/d knie;;Verdrijft wind-damp en reduceert zwelling
Mg 36;Voet driedorpenpunt;Zusanli;3 cun onder MG 35, 1 vingerbreedte naast de tibia;;-Harmoniseert maag en milt.-versterkt milt en verdrijft damp.-versterkt qi en voedt Yuan qi.-tonifieert qi en voedt xue en yin.-klaart vuur en kalmeert de shen
Mg 37;Bovenste engte v/h wijde veldt;;3 cun onder MG 36 1 vingerbreedte lateraal van bovenrand;;Reguleert darmen en transformeert stagnatie
Mg 38;Opening v/d verslapping;Tiaokuo;2 cun onder MG 37. Op het midden van het onderbeen;;Ondersteunt de schouder
Mg 39;Onderste engte v/h wijde veld;Xiajuxu;1 cun onde MG 38;;Beweegt duda qi en transformeert stagnatie
Mg 40;Overvloedige volte;Fenglong;1 vingerbreedte lateraal naast mg 38 op de rand van de spier;Luo-punt;-Transformeert slijm en damp.klaart slijm v/h hart en kalmeert de shen
Mg 41;Bevrijde waterloop;Jiexi;Op de rand v/d onderbeen/voet. Naast de pees v/d grote teen;Jing rivier;Klaart hitte in maagmeridiaan en maag fu
Mg 42;Yang v/d grote straat;chongyang;1,5 cun onder mg 41. Op de depresie tussen het begin van middevoetsbeentjes 2 en 3;;-;Yuan-bron punt;-Klaart hitte van de maagmeridiaan.harmoniseert de maag
Mg 45;Onderdrukte vrolijkheid;Lidui;Laterale nagelhoek van de 2e teen;;
