Ni 1; Opborrelende bron; Yongquan; Op de voetzool op 1/3 tussen basis teen 2 en de hiel. Als je de tenen buigt ontstaat er een kuiltje.; ; Versterkt het nier Yin. Kalmeert de Shen. Laat bijkomen uit bewusteloosheid.
Ni 3; machtige waterloop; Taixi; In de depressie tussen de hoogste top van de mediale malleolus en de achillespees; Yuan source; Voedt nier yin en klaart hite leegte. Voedt nier yang
Ni 4; grote klok; Dazhong;0.5 cun achter het middelpunt van de lijn Ni3 - Ni5. Tegen de voorrand van de achillespees; Luo punt; Versterkt de nieren. Versterkt de zhi en verdrijft angst.
Ni 5; waterbron; Shuiquan; 1 cun onder Ni3 in de depressie achter en boven(de mediale zijde) van de tuberositas van het hielbeen; xi cleft; Ondersteunt het urineren.Verwijdert obstructie uit de meridiaan.
Ni 6; de zee van verlichting; Zhaohai; 1 cun onder de top van de binnenenkel in een groef.; ; Voedt nier yin
Ni 7; terugvloeiende stroom; Fuliu; 2 cun boven Ni3 op de rand van de achillespees; ; Voedt nier yang. Reguleert de waterpassage en behandelt oedeem. Versterkt de lumbaire regio.
Ni 10; dal van het yin; Yingu; ligt bij gebogen knie aan de mediale einde knieplooi tussen de pezen van de m.semimembranosus en de m.semitendinosus.; ; Ondersteunt nier yin
Ni 11; dwars bot; Henggu; Op de bovenrand van het schaambeen. 5 cun onder de navel. 0.5 cun naast renmai 2;; Ondersteunt de OW
Ni 21; de afgelegen poort; Youmen; 6 cun boven de navel. 0.5 cun naast renmai 14.;; Versterkt de milt. Harmoniseert de maag. Verminderd rebellie. Verspreidt lever qi. Ondersteunt het hart. Verminderd pijn. 
Ni 27; verzamelplaats voor de beinvloeding.; Shufu; Aan de onderrand van de clavicula. 2 cun naast de renmai meridiaan.; ; Stimuleert de nierfunctie in het ontvangen van longqi.
